participant,trial,age,full_height,height,hip_height,knee_height,max_afforded_obstacle_height,outbound,return,time,width
6,35,,,20,,,,,,NaT,9.0
6,36,,,24,,,,,,NaT,6.0
7,1,,,16,,,,,,NaT,9.0
7,2,,,28,,,,,,NaT,6.0
7,3,,,16,,,,,,NaT,6.0
7,4,,,16,,,,,,NaT,12.0
7,5,,,20,,,,,,NaT,4.5
7,6,,,24,,,,,,NaT,4.5
7,7,,,12,,,,,,NaT,4.5
7,8,,,32,,,,,,NaT,12.0
7,9,,,24,,,,,,NaT,10.5
7,10,,,16,,,,,,NaT,4.5
7,11,,,12,,,,,,NaT,12.0
7,12,,,28,,,,,,NaT,12.0
7,13,,,32,,,,,,NaT,4.5
7,14,,,28,,,,,,NaT,9.0
7,15,,,32,,,,,,NaT,6.0
7,16,,,24,,,,,,NaT,9.0
7,17,,,12,,,,,,NaT,7.5
7,18,,,20,,,,,,NaT,7.5
7,19,,,16,,,,,,NaT,10.5
7,20,,,16,,,,,,NaT,7.5
7,21,,,28,,,,,,NaT,7.5
7,22,,,12,,,,,,NaT,6.0
7,23,,,24,,,,,,NaT,7.5
7,24,,,12,,,,,,NaT,9.0
7,25,,,20,,,,,,NaT,12.0
7,26,,,28,,,,,,NaT,4.5
7,27,,,20,,,,,,NaT,9.0
7,28,,,32,,,,,,NaT,9.0
7,29,,,20,,,,,,NaT,6.0
7,30,,,20,,,,,,NaT,10.5
7,31,,,32,,,,,,NaT,10.5
7,32,,,24,,,,,,NaT,12.0
7,33,,,28,,,,,,NaT,10.5
7,34,,,24,,,,,,NaT,6.0
7,35,,,32,,,,,,NaT,7.5
7,36,,,12,,,,,,NaT,10.5
8,1,,,32,,,,,,NaT,12.0
8,2,,,32,,,,,,NaT,7.5
8,3,,,16,,,,,,NaT,12.0
8,4,,,12,,,,,,NaT,12.0
8,5,,,32,,,,,,NaT,9.0
8,6,,,20,,,,,,NaT,7.5
8,7,,,32,,,,,,NaT,10.5
8,8,,,20,,,,,,NaT,9.0
8,9,,,16,,,,,,NaT,6.0
8,10,,,12,,,,,,NaT,7.5
8,11,,,16,,,,,,NaT,10.5
8,12,,,20,,,,,,NaT,4.5
8,13,,,12,,,,,,NaT,6.0
8,14,,,28,,,,,,NaT,4.5
8,15,,,20,,,,,,NaT,12.0
8,16,,,12,,,,,,NaT,9.0
8,17,,,32,,,,,,NaT,4.5
8,18,,,24,,,,,,NaT,4.5
8,19,,,12,,,,,,NaT,4.5
8,20,,,24,,,,,,NaT,6.0
8,21,,,32,,,,,,NaT,6.0
8,22,,,24,,,,,,NaT,9.0
8,23,,,24,,,,,,NaT,12.0
8,24,,,12,,,,,,NaT,10.5
8,25,,,28,,,,,,NaT,9.0
8,26,,,28,,,,,,NaT,6.0
8,27,,,24,,,,,,NaT,10.5
8,28,,,28,,,,,,NaT,10.5
8,29,,,20,,,,,,NaT,10.5
8,30,,,16,,,,,,NaT,4.5
8,31,,,28,,,,,,NaT,12.0
8,32,,,28,,,,,,NaT,7.5
8,33,,,16,,,,,,NaT,7.5
8,34,,,20,,,,,,NaT,6.0
8,35,,,16,,,,,,NaT,9.0
8,36,,,24,,,,,,NaT,7.5
9,1,,,12,,,,,,NaT,7.5
9,2,,,28,,,,,,NaT,10.5
9,3,,,20,,,,,,NaT,9.0
9,4,,,20,,,,,,NaT,10.5
9,5,,,32,,,,,,NaT,7.5
9,6,,,16,,,,,,NaT,12.0
9,7,,,24,,,,,,NaT,9.0
9,8,,,32,,,,,,NaT,6.0
9,9,,,28,,,,,,NaT,6.0
9,10,,,24,,,,,,NaT,10.5
9,11,,,32,,,,,,NaT,4.5
9,12,,,32,,,,,,NaT,12.0
9,13,,,28,,,,,,NaT,4.5
9,14,,,28,,,,,,NaT,7.5
9,15,,,20,,,,,,NaT,4.5
9,16,,,28,,,,,,NaT,12.0
9,17,,,12,,,,,,NaT,4.5
9,18,,,16,,,,,,NaT,6.0
9,19,,,12,,,,,,NaT,10.5
9,20,,,20,,,,,,NaT,7.5
9,21,,,12,,,,,,NaT,6.0
9,22,,,24,,,,,,NaT,12.0
9,23,,,16,,,,,,NaT,9.0
9,24,,,24,,,,,,NaT,7.5
9,25,,,16,,,,,,NaT,10.5
9,26,,,16,,,,,,NaT,4.5
9,27,,,16,,,,,,NaT,7.5
9,28,,,20,,,,,,NaT,6.0
9,29,,,32,,,,,,NaT,10.5
9,30,,,24,,,,,,NaT,6.0
9,31,,,24,,,,,,NaT,4.5
9,32,,,32,,,,,,NaT,9.0
9,33,,,20,,,,,,NaT,12.0
9,34,,,28,,,,,,NaT,9.0
9,35,,,12,,,,,,NaT,9.0
9,36,,,12,,,,,,NaT,12.0
10,1,,,24,,,,,,NaT,12.0
10,2,,,12,,,,,,NaT,4.5
10,3,,,28,,,,,,NaT,7.5
10,4,,,32,,,,,,NaT,6.0
10,5,,,16,,,,,,NaT,9.0
10,6,,,16,,,,,,NaT,10.5
10,7,,,20,,,,,,NaT,4.5
10,8,,,28,,,,,,NaT,4.5
10,9,,,16,,,,,,NaT,7.5
10,10,,,28,,,,,,NaT,6.0
10,11,,,24,,,,,,NaT,7.5
10,12,,,16,,,,,,NaT,4.5
10,13,,,16,,,,,,NaT,6.0
10,14,,,32,,,,,,NaT,4.5
10,15,,,24,,,,,,NaT,9.0
10,16,,,24,,,,,,NaT,10.5
10,17,,,32,,,,,,NaT,7.5
10,18,,,24,,,,,,NaT,4.5
10,19,,,28,,,,,,NaT,9.0
10,20,,,12,,,,,,NaT,6.0
10,21,,,12,,,,,,NaT,10.5
10,22,,,16,,,,,,NaT,12.0
10,23,,,24,,,,,,NaT,6.0
10,24,,,32,,,,,,NaT,9.0
10,25,,,12,,,,,,NaT,7.5
10,26,,,32,,,,,,NaT,10.5
10,27,,,20,,,,,,NaT,9.0
10,28,,,20,,,,,,NaT,12.0
10,29,,,20,,,,,,NaT,6.0
10,30,,,32,,,,,,NaT,12.0
10,31,,,28,,,,,,NaT,12.0
10,32,,,20,,,,,,NaT,10.5
10,33,,,12,,,,,,NaT,12.0
10,34,,,12,,,,,,NaT,9.0
10,35,,,28,,,,,,NaT,10.5
10,36,,,20,,,,,,NaT,7.5
